barcode,collNo_Text,collector_Text,collrTeam_Text,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LatDecL
229012,19726,S. L. Orzell,E.L. Bridges,Citrus Co.,Apocynaceae,Asclepias,null,null,90845,null,null,null,TRUE,3470,null,verticillata,L.,null,06/29/1992,"Just E of section line road, ca. 1.4 mi. W of Fivemile Pond, ca. 3.5 air mi. S of FL 44, ca. 10 air mi. E of Homosassa Springs. T19S, R19E, Sec. 27, SW¼.",null,Mature burned longleaf pine [Pinus palustris] sandhill. Soils - Lakeland (Typic Quartzipsamments).,Flower,null,null,null,null,null,null,100,130,ft,FALSE,Withlacoochee State Forest,-82.4025,28.80472222
253019,2375,J. M. Kunzer,B.F. Hansen,Polk Co.,Polygalaceae,Asemeia,null,null,89221,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,04/15/2008,"Ca. 2.6 km SE of the FL 471 bridge over Withlacoochee River, ca. 5.3 km NNE of the junction of FL 471 and US 98.",Dec 2013,Pasture edge adjacent to hydric hammock.,Flower,Fruit,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.03972222,28.29388889
104834,1830,P. Genelle,G. Fleming,Sumter Co.,Polygalaceae,Asemeia,null,null,89571,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,05/05/1973,River Road.,Dec 2013,"Sandy pinelands, full sun.",Flower,Fruit,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
240458,20051,S. L. Orzell,E.L. Bridges,Hamilton Co.,Polygalaceae,Asemeia,null,null,88754,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,07/07/1992,"Ca. 0.8 mi. N of FL 6 at a point Ca. 0.5 mi. E of the junction with FL 143 at Blue Springs, ca. 2 mi. E of Withlacoochee River, ca. 7 air mi. SSW of Jennings; Blue Springs Longleaf.  T1N, R11E, Sec. 10, SW¼.",Dec 2013,Typic dry upland burned longleaf pine [Pinus palustris] savanna.,Flower,Fruit,null,null,null,null,null,80,90,ft,FALSE,null,-83.2125,30.49722222
240237,19727,S. L. Orzell,E.L. Bridges,Citrus Co.,Polygalaceae,Asemeia,null,null,88761,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,06/20/1992,"Just E of section line road, ca. 1.4 mi. S of Fivemile Pond, ca. 3.5 air mi. S of FL 44, ca. 10 air mi. E of Homosassa Springs.  T19S, R19E, Sec. 27, SW¼.",Dec 2013,Mature burned longleaf pine [Pinus palustris] sandhill savanna.  Soils - Lakeland (Typic Quartzipsamments).,Flower,null,null,null,null,null,null,100,130,ft,FALSE,Withlacoochee State Forest,-82.4025,28.80472222
238849,22602,S. L. Orzell,E.L. Bridges,Sumter Co.,Polygalaceae,Asemeia,null,null,88956,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,03/29/1994,"N side of Center Grade Road, ca. 1.3 mi. E of its junction with FL 471, near Weeks Pond and N of Gator Hole Slough, ca. 7.7 mi. S of the junction with FL 50 at Tarrytown.  T23S, R23E, Sec. 29, NW¼.",Dec 2013,Wet marly pine flatwoods and cypress [Taxodium] pond edges.  Soils - Vero (Alfic Haplaquods).,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.03611111,28.45833333
151467,s.n.,T. F. Rochow,,Sumter Co.,Polygalaceae,Asemeia,null,null,89277,null,null,null,TRUE,3191,null,violacea,Aubl.,J.F.B. Pastore & J.R. Abbott,04/23/1980,"Green Swamp, ca. 1 mi. N of Withlacoochee River.",Dec 2013,Roadside in pine flatwoods.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,28.35
227190,2352,M. T. Strong,,Sumter Co.,Annonaceae,Asimina,null,null,108190,null,null,null,TRUE,1270,null,obovata,Willd.,Nash,05/23/2000,"NW side of FL 44, 1.6 km W of junction with C-475, ca. 9 km ENE of the Withlacoochee River (where FL 44 crosses it), and 9.6 km W of Wildwood.",Jan 2001,Longleaf pine [Pinus palustris] - turkey oak [Quercus laevis] sandhills.,Fruit,null,null,null,null,null,null,null,null,null,FALSE,null,-82.038974,28.865264
185079,10355,B. F. Hansen,"R.P. Wunderlin, N. Mawhinney",Sumter Co.,Annonaceae,Asimina,null,null,108345,null,null,null,TRUE,529,null,parviflora,Michx.,Dunal,04/02/1985,"1 mi. NE of FL 48, ca. 1 mi. E of Withlacoochee River; 3 mi. NW of Wahoo. T20S, R21E, Sec. 20, SE¼ of SE¼.",null,Dirt road.,null,null,null,null,null,null,null,null,null,null,FALSE,null,-82.1833,28.6833
252974,2387,J. M. Kunzer,B.F. Hansen,Polk Co.,Annonaceae,Asimina,null,null,108477,null,null,null,TRUE,1258,null,reticulata,Shuttlew. ex Chapm.,null,04/15/2008,"Ca. 2.6 km SE of FL 471 bridge over the Withlacoochee River, ca. 5.3 km NNE of junction FL 471 and US 98.",null,Mesic flatwoods.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.03972222,28.29388889
