"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"227171","Asteraceae","Symphyotrichum","carolinianum","Symphyotrichum carolinianum",1976-11-08,"1976","11","28.55","-82.05","Sumter Co."
"122564","Asteraceae","Symphyotrichum","carolinianum","Symphyotrichum carolinianum",1978-11-30,"1978","11","28.35","-81.8167","Sumter Co."
"228886","Asteraceae","Symphyotrichum","concolor","Symphyotrichum concolor",1991-10-19,"1991","10","28.45833333","-82.03611111","Sumter Co."
"228866","Asteraceae","Symphyotrichum","dumosum","Symphyotrichum dumosum",1981-11-12,"1981","11","28.45805556","-82.06111111","Pasco Co."
"3617","Asteraceae","Symphyotrichum","dumosum","Symphyotrichum dumosum",2008-11-26,"2008","11","28.35","-81.8167","Sumter Co."
"227226","Asteraceae","Symphyotrichum","dumosum","Symphyotrichum dumosum",1975-11-23,"1975","11","28.35","-81.8167","Hernando Co."
"306739","Asteraceae","Symphyotrichum","dumosum","Symphyotrichum dumosum",1976-11-08,"1976","11","28.5935","-82.224","Hernando Co."
"48040","Asteraceae","Symphyotrichum","dumosum","Symphyotrichum dumosum",1980-11-04,"1980","11","28.688879","-82.272868","Citrus Co."
"56008","Asteraceae","Symphyotrichum","elliottii","Symphyotrichum elliottii",1964-11-08,"1964","11","28.35","-81.8167","Sumter Co."
"104837","Eriocaulaceae","Syngonanthus","flavidulus","Syngonanthus flavidulus",2008-04-03,"2008","04","28.35","-81.8167","Sumter Co."
"104755","Cupressaceae","Taxodium","ascendens","Taxodium ascendens",2008-04-03,"2008","04","28.587772","-82.227588","Hernando Co."
"104640","Cupressaceae","Taxodium","distichum","Taxodium distichum",1962-06-19,"1962","06","28.35","-81.8167","Citrus Co."
"56017","Cupressaceae","Taxodium","distichum","Taxodium distichum",1961-05-01,"1961","05","28.35","-81.8167","Sumter Co."
"48016","Dryopteridaceae","Tectaria","heracleifolia","Tectaria heracleifolia",1962-10-21,"1962","10","28.6833","-82.2667","Citrus Co."
"55397","Fabaceae","Tephrosia","spicata","Tephrosia spicata",1962-06-19,"1962","06","28.688879","-82.272868","Citrus Co."
"104741","Fabaceae","Tephrosia","spicata","Tephrosia spicata",2008-09-26,"2008","09","28.587772","-82.227588","Hernando Co."
"214551","Lamiaceae","Teucrium","canadense","Teucrium canadense",1962-06-19,"1962","06","28.55","-82.05","Sumter Co."
"206457","Marantaceae","Thalia","geniculata","Thalia geniculata",1981-09-09,"1981","09","28.5","-82.1","Hernando Co."
"161039","Thelypteridaceae","Thelypteris","hispidula","Thelypteris hispidula",1966-10-03,"1966","10","28.55","-82.05","Sumter Co."
"227254","Thelypteridaceae","Thelypteris","kunthii","Thelypteris kunthii",1981-09-09,"1981","09","28.5333","-82.45","Hernando Co."
"7608","Thelypteridaceae","Thelypteris","kunthii","Thelypteris kunthii",2008-09-26,"2008","09","28.6833","-82.2667","Citrus Co."
"302467","Thelypteridaceae","Thelypteris","kunthii","Thelypteris kunthii",1973-03-22,"1973","03","null","null","Hernando Co."
"131714","Thelypteridaceae","Thelypteris","kunthii","Thelypteris kunthii",1980-10-14,"1980","10","null","null","Citrus Co."
"206081","Thelypteridaceae","Thelypteris","kunthii","Thelypteris kunthii",1978-11-13,"1978","11","28.35","-81.8167","Sumter Co."
"104814","Thelypteridaceae","Thelypteris","reptans","Thelypteris reptans",1962-10-21,"1962","10","28.5","-82.1","Hernando Co."
"185046","Thelypteridaceae","Thelypteris","reptans","Thelypteris reptans",1963-05-06,"1963","05","28.733383","-82.225673","Sumter Co."
"27793","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona",1962-10-21,"1962","10","28.35","-81.8167","Sumter Co."
"162076","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona",1962-10-21,"1962","10","28.35","-82.0333","Sumter Co."
"55409","Bromeliaceae","Tillandsia","bartramii","Tillandsia bartramii",1985-04-02,"1985","04","28.6833","-82.2667","Citrus Co."
"120890","Bromeliaceae","Tillandsia","bartramii","Tillandsia bartramii",1981-09-29,"1981","09","28.465832","-82.172029","Pasco Co."
"229945","Bromeliaceae","Tillandsia","bartramii","Tillandsia bartramii",2008-09-03,"2008","09","28.45833333","-82.03611111","Sumter Co."
"287667","Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata",1959-09-16,"1959","09","28.465832","-82.172029","Pasco Co."
"56015","Bromeliaceae","Tillandsia","setacea","Tillandsia setacea",1961-05-01,"1961","05","28.35","-81.8167","Sumter Co."
"127264","Bromeliaceae","Tillandsia","setacea","Tillandsia setacea",2008-09-03,"2008","09","null","null","Hernando Co."
"185954","Bromeliaceae","Tillandsia","simulata","Tillandsia simulata",2008-09-26,"2008","09","null","null","Hernando Co."
"127263","Bromeliaceae","Tillandsia","utriculata","Tillandsia utriculata",2008-09-03,"2008","09","null","null","Hernando Co."
"161003","Anacardiaceae","Toxicodendron","radicans","Toxicodendron radicans",1985-04-02,"1985","04","28.4667","-82.0667","Pasco Co."
"27747","Anacardiaceae","Toxicodendron","radicans","Toxicodendron radicans",1961-04-07,"1961","04","28.35","-81.8167","Sumter Co."
"9457","Commelinaceae","Tradescantia","ohiensis","Tradescantia ohiensis",1963-04-13,"1963","04","28.35","-81.8167","Citrus Co."
"55398","Hymenophyllaceae","Trichomanes","punctatum","Trichomanes punctatum",1963-09-21,"1963","09","28.688879","-82.272868","Citrus Co."
"190413","Lamiaceae","Trichostema","dichotomum","Trichostema dichotomum",1959-09-16,"1959","09","28.555272","-82.387871","Hernando Co."
"202153","Lamiaceae","Trichostema","dichotomum","Trichostema dichotomum",2008-09-26,"2008","09","28.35","-81.8167","Hernando Co."
"214550","Fabaceae","Trifolium","repens","Trifolium repens",2009-02-19,"2009","02","28.55","-82.05","Sumter Co."
"245261","Poaceae","Tripsacum","dactyloides","Tripsacum dactyloides",1984-08-01,"1984","08","28.52527778","-82.20527778","Hernando Co."
"148729","Ulmaceae","Ulmus","americana","Ulmus americana",1985-04-02,"1985","04","28.465832","-82.172029","Pasco Co."
"302722","Ulmaceae","Ulmus","americana","Ulmus americana",1960-01-06,"1960","01","28.68694444","-82.46722222","Hernando Co."
